freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,3.1498795841007506e-08,0
0.0,1,3.323027940320829e-08,0
0.0,2,6.292825175760962e-08,0
0.0,3,3.6574757356847186e-08,0
0.0,4,5.85843384622251e-08,0
0.0,5,3.133982550614089e-08,0
0.0,6,6.25933845027204e-08,0
0.0,7,4.875137357596778e-08,0
0.0,8,5.634010660089153e-08,0
0.0,9,3.0756137423222283e-08,0
0.0,10,3.669702995636026e-08,0
0.0,11,3.974607423442839e-08,0
0.0,12,4.1909360296899425e-08,0
0.0,13,3.303929528662123e-08,0
0.0,14,4.069444070123055e-08,0
0.0,15,7.948926469519673e-08,0
2.0,0,3.14449224725567e-08,0
2.0,1,3.30956617250695e-08,0
2.0,2,6.289675079996595e-08,0
2.0,3,3.6589936497959154e-08,0
2.0,4,5.8582231746587736e-08,0
2.0,5,3.129291131896437e-08,0
2.0,6,6.256147717115423e-08,0
2.0,7,4.89501710346483e-08,0
2.0,8,5.628902248426953e-08,0
2.0,9,3.075776942151174e-08,0
2.0,10,3.6718075953435895e-08,0
2.0,11,3.970341172647265e-08,0
2.0,12,4.191782595855872e-08,0
2.0,13,3.3104763205906594e-08,0
2.0,14,4.056530618599185e-08,0
2.0,15,8.065090637027651e-08,0
4.0,0,3.159276599024049e-08,0
4.0,1,3.350133788827324e-08,0
4.0,2,6.31004938031392e-08,0
4.0,3,3.669799458336168e-08,0
4.0,4,5.876151269292868e-08,0
4.0,5,3.141193054695999e-08,0
4.0,6,6.27705924655432e-08,0
4.0,7,4.9179790857446443e-08,0
4.0,8,5.642392338128451e-08,0
4.0,9,3.076056135008121e-08,0
4.0,10,3.680356965570943e-08,0
4.0,11,3.978096950745705e-08,0
4.0,12,4.1933997746845155e-08,0
4.0,13,3.3184414032661975e-08,0
4.0,14,4.083597954429535e-08,0
4.0,15,8.06511302457248e-08,0
6.0,0,3.164850148193365e-08,0
6.0,1,3.347007004396638e-08,0
6.0,2,6.305077063729705e-08,0
6.0,3,3.6639854725359016e-08,0
6.0,4,5.869386475236544e-08,0
6.0,5,3.1397888551103086e-08,0
6.0,6,6.273538164695731e-08,0
6.0,7,4.889639266893286e-08,0
6.0,8,5.6446750705431454e-08,0
6.0,9,3.076033276874244e-08,0
6.0,10,3.676624070841867e-08,0
6.0,11,3.984062911246644e-08,0
6.0,12,4.192580386660677e-08,0
6.0,13,3.3103255172220956e-08,0
6.0,14,4.081984647852774e-08,0
6.0,15,7.940496462329278e-08,0
8.0,0,3.170930731092827e-08,0
8.0,1,3.366539506112507e-08,0
8.0,2,6.320561561399983e-08,0
8.0,3,3.675127415948269e-08,0
8.0,4,5.89057344235183e-08,0
8.0,5,3.147477963265527e-08,0
8.0,6,6.287166529593159e-08,0
8.0,7,4.9317924073657715e-08,0
8.0,8,5.654603065833246e-08,0
8.0,9,3.0763364754053604e-08,0
8.0,10,3.688583508122799e-08,0
8.0,11,3.986336291627852e-08,0
8.0,12,4.19438184205255e-08,0
8.0,13,3.324521694798454e-08,0
8.0,14,4.095411171286159e-08,0
8.0,15,8.053802361437296e-08,0
10.0,0,3.162241363165609e-08,0
10.0,1,3.34382231924279e-08,0
10.0,2,6.307699133722643e-08,0
10.0,3,3.6696713280032096e-08,0
10.0,4,5.873955879680187e-08,0
10.0,5,3.1382370133375874e-08,0
10.0,6,6.275997810777409e-08,0
10.0,7,4.9256483335347484e-08,0
10.0,8,5.646958971749469e-08,0
10.0,9,3.076196235313847e-08,0
10.0,10,3.6845642398880986e-08,0
10.0,11,3.984210783331053e-08,0
10.0,12,4.194603780519492e-08,0
10.0,13,3.3206521732952456e-08,0
10.0,14,4.074415574874617e-08,0
10.0,15,8.109197140624237e-08,0
12.0,0,3.1868630391625306e-08,0
12.0,1,3.383299450110818e-08,0
12.0,2,6.329786542056643e-08,0
12.0,3,3.682003854870457e-08,0
12.0,4,5.9040149489294064e-08,0
12.0,5,3.1527770378044935e-08,0
12.0,6,6.298592572594511e-08,0
12.0,7,4.951327318218563e-08,0
12.0,8,5.665027511030785e-08,0
12.0,9,3.076898837821817e-08,0
12.0,10,3.697863331388182e-08,0
12.0,11,3.996529599113384e-08,0
12.0,12,4.195580012359861e-08,0
12.0,13,3.3347904700803685e-08,0
12.0,14,4.106764186479078e-08,0
12.0,15,8.067909023620967e-08,0
14.0,0,3.1985453527147666e-08,0
14.0,1,3.381987203645148e-08,0
14.0,2,6.328580690877334e-08,0
14.0,3,3.677052848083473e-08,0
14.0,4,5.901488176624329e-08,0
14.0,5,3.155595608845242e-08,0
14.0,6,6.296905324225842e-08,0
14.0,7,4.937035877067035e-08,0
14.0,8,5.6705161139087415e-08,0
14.0,9,3.077439882806525e-08,0
14.0,10,3.7004681174848684e-08,0
14.0,11,4.0018308893141874e-08,0
14.0,12,4.196368760976764e-08,0
14.0,13,3.329394961387052e-08,0
14.0,14,4.105576371887009e-08,0
14.0,15,8.014060510123649e-08,0
16.0,0,3.2040575063884365e-08,0
16.0,1,3.389182637599187e-08,0
16.0,2,6.333432239641259e-08,0
16.0,3,3.688098421266118e-08,0
16.0,4,5.918491740445769e-08,0
16.0,5,3.154453039687203e-08,0
16.0,6,6.305939063649193e-08,0
16.0,7,4.982795953937201e-08,0
16.0,8,5.6741769174897985e-08,0
16.0,9,3.078456994406597e-08,0
16.0,10,3.7195921697032567e-08,0
16.0,11,4.0029410525351776e-08,0
16.0,12,4.197431951697027e-08,0
16.0,13,3.341303958136705e-08,0
16.0,14,4.1062339223177954e-08,0
16.0,15,8.125554107213802e-08,0
18.000000000000004,0,3.2162793228849236e-08,0
18.000000000000004,1,3.4030159532574926e-08,0
18.000000000000004,2,6.339109378521038e-08,0
18.000000000000004,3,3.6926325315636336e-08,0
18.000000000000004,4,5.9264331005771276e-08,0
18.000000000000004,5,3.1595108991748494e-08,0
18.000000000000004,6,6.31691376270952e-08,0
18.000000000000004,7,5.0024921533317855e-08,0
18.000000000000004,8,5.68292990655235e-08,0
18.000000000000004,9,3.079529290152807e-08,0
18.000000000000004,10,3.728077846068679e-08,0
18.000000000000004,11,4.009403549321432e-08,0
18.000000000000004,12,4.198662058335584e-08,0
18.000000000000004,13,3.352037268209518e-08,0
18.000000000000004,14,4.1120154575054026e-08,0
18.000000000000004,15,8.157893526120968e-08,0
20.0,0,3.262554821648481e-08,0
20.0,1,3.42257593544019e-08,0
20.0,2,6.350246717101278e-08,0
20.0,3,3.695321401759515e-08,0
20.0,4,5.9386668259740795e-08,0
20.0,5,3.1751433549834093e-08,0
20.0,6,6.32216821632739e-08,0
20.0,7,5.009741141420877e-08,0
20.0,8,5.696678688272455e-08,0
20.0,9,3.0799125091737275e-08,0
20.0,10,3.7386644756815635e-08,0
20.0,11,4.028353149717807e-08,0
20.0,12,4.200461912356414e-08,0
20.0,13,3.355524730464892e-08,0
20.0,14,4.1239873513599334e-08,0
20.0,15,8.062809872182037e-08,0
22.0,0,3.320988552870198e-08,0
22.0,1,3.439000803898072e-08,0
22.0,2,6.367065805581843e-08,0
22.0,3,3.705200798397539e-08,0
22.0,4,5.976021005419586e-08,0
22.0,5,3.185718684408496e-08,0
22.0,6,6.343636831322975e-08,0
22.0,7,5.073898296471878e-08,0
22.0,8,5.715854972686124e-08,0
22.0,9,3.0821362136400804e-08,0
22.0,10,3.7935163378998286e-08,0
22.0,11,4.04829369146784e-08,0
22.0,12,4.2048618364768775e-08,0
22.0,13,3.372070369640308e-08,0
22.0,14,4.1369252885332216e-08,0
22.0,15,8.131583338344823e-08,0
24.0,0,3.284255157408042e-08,0
24.0,1,3.424976239411382e-08,0
24.0,2,6.358058526796973e-08,0
24.0,3,3.707365585208094e-08,0
24.0,4,5.969182748787524e-08,0
24.0,5,3.1740475886348194e-08,0
24.0,6,6.342750596061543e-08,0
24.0,7,5.0778858557648e-08,0
24.0,8,5.71027370744533e-08,0
24.0,9,3.0862125932675256e-08,0
24.0,10,3.7681810252486815e-08,0
24.0,11,4.035518106451827e-08,0
24.0,12,4.204409171037231e-08,0
24.0,13,3.363425390756286e-08,0
24.0,14,4.1238306848494496e-08,0
24.0,15,8.199567452457708e-08,0
26.000000000000004,0,3.402480872423502e-08,0
26.000000000000004,1,3.45547659576635e-08,0
26.000000000000004,2,6.381931513667069e-08,0
26.000000000000004,3,3.717288682969375e-08,0
26.000000000000004,4,6.016777867277377e-08,0
26.000000000000004,5,3.200618710867142e-08,0
26.000000000000004,6,6.3671124103343e-08,0
26.000000000000004,7,5.131821456898145e-08,0
26.000000000000004,8,5.743108555418092e-08,0
26.000000000000004,9,3.0890972998158765e-08,0
26.000000000000004,10,3.859270997456795e-08,0
26.000000000000004,11,4.084718038000649e-08,0
26.000000000000004,12,4.2131554900696216e-08,0
26.000000000000004,13,3.3840958796337216e-08,0
26.000000000000004,14,4.145258635305581e-08,0
26.000000000000004,15,8.207483227757849e-08,0
28.0,0,3.4329071728672774e-08,0
28.0,1,3.469816028113374e-08,0
28.0,2,6.383654707134499e-08,0
28.0,3,3.7203171486562304e-08,0
28.0,4,6.02535572538741e-08,0
28.0,5,3.214139750024112e-08,0
28.0,6,6.377692856796577e-08,0
28.0,7,5.1190540895763815e-08,0
28.0,8,5.74223533332863e-08,0
28.0,9,3.0906644749298586e-08,0
28.0,10,3.8757879367868235e-08,0
28.0,11,4.1383124878346274e-08,0
28.0,12,4.217473777522424e-08,0
28.0,13,3.3825648466206075e-08,0
28.0,14,4.148525561112472e-08,0
28.0,15,8.142310029987425e-08,0
30.0,0,3.491661121933573e-08,0
30.0,1,3.480619272055381e-08,0
30.0,2,6.404240706134768e-08,0
30.0,3,3.735368347187957e-08,0
30.0,4,6.087270498874033e-08,0
30.0,5,3.221324858659871e-08,0
30.0,6,6.401520998085336e-08,0
30.0,7,5.185163737695498e-08,0
30.0,8,5.78853081272123e-08,0
30.0,9,3.103914683639807e-08,0
30.0,10,3.9727837505468474e-08,0
30.0,11,4.168612407934423e-08,0
30.0,12,4.2318123686671053e-08,0
30.0,13,3.397180336783955e-08,0
30.0,14,4.1568772805899744e-08,0
30.0,15,8.261487315393596e-08,0
32.0,0,3.465060391147496e-08,0
32.0,1,3.47395203650848e-08,0
32.0,2,6.41326357120713e-08,0
32.0,3,3.736679221775039e-08,0
32.0,4,6.081980277176479e-08,0
32.0,5,3.2191886027729e-08,0
32.0,6,6.408863589764684e-08,0
32.0,7,5.18848227803723e-08,0
32.0,8,5.78621656439431e-08,0
32.0,9,3.1135083770298536e-08,0
32.0,10,3.9886294036898587e-08,0
32.0,11,4.145874532289773e-08,0
32.0,12,4.235364538691014e-08,0
32.0,13,3.398247940073438e-08,0
32.0,14,4.1594100550013486e-08,0
32.0,15,8.297789671606362e-08,0
34.0,0,3.545245396767576e-08,0
34.0,1,3.504345594728292e-08,0
34.0,2,6.437933264918276e-08,0
34.0,3,3.750494030951125e-08,0
34.0,4,6.158513503046054e-08,0
34.0,5,3.2599590162759e-08,0
34.0,6,6.446518949406828e-08,0
34.0,7,5.207474855590346e-08,0
34.0,8,5.826534610405169e-08,0
34.0,9,3.121465889759995e-08,0
34.0,10,4.053599474801261e-08,0
34.0,11,4.269055562511806e-08,0
34.0,12,4.2612675642642783e-08,0
34.0,13,3.4201746158260485e-08,0
34.0,14,4.1697970666786895e-08,0
34.0,15,8.269105272020838e-08,0
36.00000000000001,0,3.574412514574348e-08,0
36.00000000000001,1,3.517947247832572e-08,0
36.00000000000001,2,6.46558937633453e-08,0
36.00000000000001,3,3.770671375334228e-08,0
36.00000000000001,4,6.198913767536074e-08,0
36.00000000000001,5,3.308068264711074e-08,0
36.00000000000001,6,6.496620023536117e-08,0
36.00000000000001,7,5.23877786301566e-08,0
36.00000000000001,8,5.87095863252712e-08,0
36.00000000000001,9,3.151224352056123e-08,0
36.00000000000001,10,4.0927492532316557e-08,0
36.00000000000001,11,4.324292139121974e-08,0
36.00000000000001,12,4.3027310123365424e-08,0
36.00000000000001,13,3.442229351245264e-08,0
36.00000000000001,14,4.1776737160142136e-08,0
36.00000000000001,15,8.303823306207389e-08,0
38.0,0,3.5699346941785294e-08,0
38.0,1,3.515577941669325e-08,0
38.0,2,6.478430043352371e-08,0
38.0,3,3.7779065389697434e-08,0
38.0,4,6.213491454635412e-08,0
38.0,5,3.283831082691499e-08,0
38.0,6,6.503476738897996e-08,0
38.0,7,5.253388541813744e-08,0
38.0,8,5.902302461113403e-08,0
38.0,9,3.170930731092827e-08,0
38.0,10,4.105218520032359e-08,0
38.0,11,4.3161845473380555e-08,0
38.0,12,4.3231325161352755e-08,0
38.0,13,3.449590163252645e-08,0
38.0,14,4.177900904743451e-08,0
38.0,15,8.428734015186707e-08,0
40.0,0,3.589756544050848e-08,0
40.0,1,3.53430456879634e-08,0
40.0,2,6.530284967688483e-08,0
40.0,3,3.801376623136248e-08,0
40.0,4,6.248236700101094e-08,0
40.0,5,3.343764912339102e-08,0
40.0,6,6.569482987037565e-08,0
40.0,7,5.273209673314031e-08,0
40.0,8,5.9471892006612055e-08,0
40.0,9,3.2199294623247257e-08,0
40.0,10,4.127428746912062e-08,0
40.0,11,4.3685578742979545e-08,0
40.0,12,4.3750350923961476e-08,0
40.0,13,3.4862608752459356e-08,0
