freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,6.218927849703363e-08,0
0.0,1,5.9101839982078084e-08,0
0.0,2,4.149626150552495e-08,0
0.0,3,3.639901651476747e-08,0
0.0,4,4.221609201779353e-08,0
0.0,5,3.1180635405724724e-08,0
0.0,6,2.0285800746796408e-08,0
0.0,7,3.823844006539029e-08,0
0.0,8,3.2866983684765996e-08,0
0.0,9,2.6895562535488542e-08,0
0.0,10,3.382936453480339e-08,0
0.0,11,1.3975424859373687e-08,0
0.0,12,2.6304056088468022e-08,0
0.0,13,3.0785675235245925e-08,0
0.0,14,2.5787191035815808e-08,0
0.0,15,2.5155764746872636e-08,0
2.0,0,6.248114102859314e-08,0
2.0,1,5.902579229047033e-08,0
2.0,2,4.123161859571167e-08,0
2.0,3,3.6373514949482716e-08,0
2.0,4,4.218352645247147e-08,0
2.0,5,3.117828988235001e-08,0
2.0,6,2.0153685967418317e-08,0
2.0,7,3.841497814922684e-08,0
2.0,8,3.2776240712537634e-08,0
2.0,9,2.676959356991936e-08,0
2.0,10,3.37651868782863e-08,0
2.0,11,1.3975424859373687e-08,0
2.0,12,2.5560237086215204e-08,0
2.0,13,3.0740230435577465e-08,0
2.0,14,2.5805784507773736e-08,0
2.0,15,2.5155764746872636e-08,0
4.0,0,6.268423249944008e-08,0
4.0,1,5.913361189677723e-08,0
4.0,2,4.1458374891199296e-08,0
4.0,3,3.637894118566469e-08,0
4.0,4,4.2234232523605686e-08,0
4.0,5,3.120308909326683e-08,0
4.0,6,2.0230476447703065e-08,0
4.0,7,3.8683196892984166e-08,0
4.0,8,3.313962392222762e-08,0
4.0,9,2.6904836324364804e-08,0
4.0,10,3.389040528398119e-08,0
4.0,11,1.3975424859373687e-08,0
4.0,12,2.591745056753958e-08,0
4.0,13,3.078858603810748e-08,0
4.0,14,2.5875258743191513e-08,0
4.0,15,2.5155764746872636e-08,0
6.0,0,6.229198912510148e-08,0
6.0,1,5.919125169899054e-08,0
6.0,2,4.156048820911327e-08,0
6.0,3,3.644951776804713e-08,0
6.0,4,4.231125041355861e-08,0
6.0,5,3.1233113459722876e-08,0
6.0,6,2.039424518649002e-08,0
6.0,7,3.834392768185365e-08,0
6.0,8,3.312452271674601e-08,0
6.0,9,2.6942313904153393e-08,0
6.0,10,3.3835739506470035e-08,0
6.0,11,1.3975424859373687e-08,0
6.0,12,2.66754225956589e-08,0
6.0,13,3.0818090416798226e-08,0
6.0,14,2.5811134049284256e-08,0
6.0,15,2.5155764746872636e-08,0
8.0,0,6.273068820534382e-08,0
8.0,1,5.922694081817625e-08,0
8.0,2,4.154580749191732e-08,0
8.0,3,3.640638723521176e-08,0
8.0,4,4.2280497274237235e-08,0
8.0,5,3.12210374341858e-08,0
8.0,6,2.02997876298368e-08,0
8.0,7,3.8765754468580716e-08,0
8.0,8,3.335740094171676e-08,0
8.0,9,2.7004551358363446e-08,0
8.0,10,3.3978633976275214e-08,0
8.0,11,1.3975424859373687e-08,0
8.0,12,2.6269373798991596e-08,0
8.0,13,3.083444095633009e-08,0
8.0,14,2.5900452857658852e-08,0
8.0,15,2.5155764746872636e-08,0
10.0,0,6.273583576982584e-08,0
10.0,1,5.9134568802554686e-08,0
10.0,2,4.134688338805135e-08,0
10.0,3,3.638711963385825e-08,0
10.0,4,4.2254586146246026e-08,0
10.0,5,3.122465090127469e-08,0
10.0,6,2.0179468605357333e-08,0
10.0,7,3.872696214999636e-08,0
10.0,8,3.310352810168167e-08,0
10.0,9,2.6836193476187052e-08,0
10.0,10,3.390529138815471e-08,0
10.0,11,1.3975424859373687e-08,0
10.0,12,2.5754482833631597e-08,0
10.0,13,3.079166205212518e-08,0
10.0,14,2.585866096766286e-08,0
10.0,15,2.5155764746872636e-08,0
12.0,0,6.286674901605828e-08,0
12.0,1,5.935886404681472e-08,0
12.0,2,4.1635119893550776e-08,0
12.0,3,3.645715162134254e-08,0
12.0,4,4.23631020655288e-08,0
12.0,5,3.1283571957428164e-08,0
12.0,6,2.0389204528014323e-08,0
12.0,7,3.891813412744644e-08,0
12.0,8,3.3644541328121834e-08,0
12.0,9,2.707849835809857e-08,0
12.0,10,3.4010423245559785e-08,0
12.0,11,1.3975424859373687e-08,0
12.0,12,2.6704946740081802e-08,0
12.0,13,3.090153735915946e-08,0
12.0,14,2.5921725532434462e-08,0
12.0,15,2.5155764746872636e-08,0
14.0,0,6.272954538355037e-08,0
14.0,1,5.940381535970187e-08,0
14.0,2,4.168571398627938e-08,0
14.0,3,3.651969600651885e-08,0
14.0,4,4.2460167213198254e-08,0
14.0,5,3.135896713077255e-08,0
14.0,6,2.051684561064275e-08,0
14.0,7,3.8724393201888966e-08,0
14.0,8,3.371145167297701e-08,0
14.0,9,2.7038769359504037e-08,0
14.0,10,3.395546329625758e-08,0
14.0,11,1.3975424859373687e-08,0
14.0,12,2.7337370822344856e-08,0
14.0,13,3.093536645220145e-08,0
14.0,14,2.5910348389439458e-08,0
14.0,15,2.5155764746872636e-08,0
16.0,0,6.308697022906801e-08,0
16.0,1,5.9416278405688366e-08,0
16.0,2,4.1555985543385516e-08,0
16.0,3,3.6451422481934194e-08,0
16.0,4,4.242907757306165e-08,0
16.0,5,3.1321486886195855e-08,0
16.0,6,2.0326727781734356e-08,0
16.0,7,3.923471127187131e-08,0
16.0,8,3.37928291194225e-08,0
16.0,9,2.707849835809857e-08,0
16.0,10,3.4145362359118413e-08,0
16.0,11,1.3975424859373687e-08,0
16.0,12,2.638074771283673e-08,0
16.0,13,3.090185885227628e-08,0
16.0,14,2.600047101601414e-08,0
16.0,15,2.5155764746872636e-08,0
18.000000000000004,0,6.323702395759242e-08,0
18.000000000000004,1,5.952812547199563e-08,0
18.000000000000004,2,4.1609185106521826e-08,0
18.000000000000004,3,3.6474475177533694e-08,0
18.000000000000004,4,4.248148441929936e-08,0
18.000000000000004,5,3.141205307176983e-08,0
18.000000000000004,6,2.033375903326887e-08,0
18.000000000000004,7,3.941169992600436e-08,0
18.000000000000004,8,3.395148668633859e-08,0
18.000000000000004,9,2.7093571260919976e-08,0
18.000000000000004,10,3.4183410829626983e-08,0
18.000000000000004,11,1.3975424859373687e-08,0
18.000000000000004,12,2.6533623535824973e-08,0
18.000000000000004,13,3.096274421674238e-08,0
18.000000000000004,14,2.6018445293747553e-08,0
18.000000000000004,15,2.515840410945231e-08,0
20.0,0,6.3171867729893e-08,0
20.0,1,5.98035300830442e-08,0
20.0,2,4.180139561748539e-08,0
20.0,3,3.668178652135256e-08,0
20.0,4,4.269795132798053e-08,0
20.0,5,3.1593624395207075e-08,0
20.0,6,2.066146512249255e-08,0
20.0,7,3.926837169075551e-08,0
20.0,8,3.423131628179115e-08,0
20.0,9,2.7170403914912216e-08,0
20.0,10,3.4210331746824353e-08,0
20.0,11,1.3975424859373687e-08,0
20.0,12,2.856989538365923e-08,0
20.0,13,3.104906362419162e-08,0
20.0,14,2.604268897572767e-08,0
20.0,15,2.5159285005023612e-08,0
22.0,0,6.356938975153742e-08,0
22.0,1,6.022063539986679e-08,0
22.0,2,4.1816448056632854e-08,0
22.0,3,3.6689574466096446e-08,0
22.0,4,4.28673687615896e-08,0
22.0,5,3.1793638396033004e-08,0
22.0,6,2.064351994922732e-08,0
22.0,7,3.9708178382166315e-08,0
22.0,8,3.451625180221638e-08,0
22.0,9,2.7249772300059323e-08,0
22.0,10,3.433556158343586e-08,0
22.0,11,1.3975424859373687e-08,0
22.0,12,2.869985941709289e-08,0
22.0,13,3.109012774448354e-08,0
22.0,14,2.6106305653869228e-08,0
22.0,15,2.515840410945231e-08,0
24.0,0,6.365110563913798e-08,0
24.0,1,5.998830643085643e-08,0
24.0,2,4.168260050364993e-08,0
24.0,3,3.659229676876587e-08,0
24.0,4,4.281150099065994e-08,0
24.0,5,3.1763964352192965e-08,0
24.0,6,2.0454354540723886e-08,0
24.0,7,3.986432664804953e-08,0
24.0,8,3.433703091662298e-08,0
24.0,9,2.7209763359592367e-08,0
24.0,10,3.443544685349676e-08,0
24.0,11,1.3975424859373687e-08,0
24.0,12,2.7170403914912216e-08,0
24.0,13,3.107582669374037e-08,0
24.0,14,2.6101576328264596e-08,0
24.0,15,2.5155764746872636e-08,0
26.000000000000004,0,6.389874810702524e-08,0
26.000000000000004,1,6.074285968289871e-08,0
26.000000000000004,2,4.184750153226647e-08,0
26.000000000000004,3,3.685510251505526e-08,0
26.000000000000004,4,4.3272926161209166e-08,0
26.000000000000004,5,3.23336752663616e-08,0
26.000000000000004,6,2.073490328129e-08,0
26.000000000000004,7,4.006288459687123e-08,0
26.000000000000004,8,3.4855879259655815e-08,0
26.000000000000004,9,2.731517822012703e-08,0
26.000000000000004,10,3.456635234062175e-08,0
26.000000000000004,11,1.3975424859373687e-08,0
