freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,5.675153452142892e-08,0
0.0,1,5.6739170180011175e-08,0
0.0,2,4.1082741095567596e-08,0
0.0,3,1.5862450310925782e-08,0
0.0,4,4.199422428290717e-08,0
0.0,5,3.077390986658082e-08,0
0.0,6,1.3966984136852925e-08,0
0.0,7,1.0630878739181691e-08,0
0.0,8,3.204831034901771e-08,0
0.0,9,1.957041183883514e-08,0
0.0,10,3.1163002343493466e-08,0
0.0,11,1.2379598567739222e-08,0
0.0,12,2.6001336671137262e-08,0
0.0,13,3.0331848028122143e-08,0
0.0,14,2.6084790124343895e-08,0
0.0,15,1.5242574625331254e-08,0
2.0,0,5.6822321652339735e-08,0
2.0,1,5.6696661033591086e-08,0
2.0,2,4.0930999351915436e-08,0
2.0,3,1.5228910087724474e-08,0
2.0,4,4.1977023327610404e-08,0
2.0,5,3.0767771291964876e-08,0
2.0,6,1.3790880046925285e-08,0
2.0,7,1.1053450784109933e-08,0
2.0,8,3.190948790398259e-08,0
2.0,9,1.956559480312316e-08,0
2.0,10,3.1131310907029564e-08,0
2.0,11,1.2528223503377628e-08,0
2.0,12,2.5576998784950267e-08,0
2.0,13,3.023228967281971e-08,0
2.0,14,2.6041547834815943e-08,0
2.0,15,1.5066838991248585e-08,0
4.0,0,5.7060283881795157e-08,0
4.0,1,5.682191778209853e-08,0
4.0,2,4.1056061998044995e-08,0
4.0,3,1.546031375068214e-08,0
4.0,4,4.2033702721694155e-08,0
4.0,5,3.077141072552202e-08,0
4.0,6,1.390896312952726e-08,0
4.0,7,1.0958672677833542e-08,0
4.0,8,3.215296582583354e-08,0
4.0,9,1.956559480312316e-08,0
4.0,10,3.116662911901303e-08,0
4.0,11,1.2503204530676306e-08,0
4.0,12,2.5837711642097293e-08,0
4.0,13,3.0347815576546964e-08,0
4.0,14,2.617775616830701e-08,0
4.0,15,1.5164378914574134e-08,0
6.0,0,5.687376433649336e-08,0
6.0,1,5.6854237716500525e-08,0
6.0,2,4.11507152864745e-08,0
6.0,3,1.5967690469920692e-08,0
6.0,4,4.205578678958381e-08,0
6.0,5,3.0796153132272796e-08,0
6.0,6,1.3968193074194192e-08,0
6.0,7,1.059587381699119e-08,0
6.0,8,3.2246006731046626e-08,0
6.0,9,1.9576456532288477e-08,0
6.0,10,3.117549819387939e-08,0
6.0,11,1.2418908949738858e-08,0
6.0,12,2.6270771567782957e-08,0
6.0,13,3.036788852987538e-08,0
6.0,14,2.6245062655816048e-08,0
6.0,15,1.5308920157353876e-08,0
8.0,0,5.7162133624467515e-08,0
8.0,1,5.6928716357853555e-08,0
8.0,2,4.112004474832843e-08,0
8.0,3,1.558948801214642e-08,0
8.0,4,4.206966263360022e-08,0
8.0,5,3.078062222456438e-08,0
8.0,6,1.3944429135615127e-08,0
8.0,7,1.09125061924053e-08,0
8.0,8,3.2358155625569186e-08,0
8.0,9,1.956559480312316e-08,0
8.0,10,3.1190507260951796e-08,0
8.0,11,1.2528722587498823e-08,0
8.0,12,2.6095491590865002e-08,0
8.0,13,3.040566347665475e-08,0
8.0,14,2.6274303719357287e-08,0
8.0,15,1.5250554864790992e-08,0
10.0,0,5.704097414105682e-08,0
10.0,1,5.6793344190966094e-08,0
10.0,2,4.097362450985233e-08,0
10.0,3,1.5216427498708084e-08,0
10.0,4,4.20382351145911e-08,0
10.0,5,3.077328385864437e-08,0
10.0,6,1.3823311391516557e-08,0
10.0,7,1.1158783962265982e-08,0
10.0,8,3.224033655677296e-08,0
