freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,4.2867899860182096e-08,0
0.0,1,8.383978621116507e-09,0
0.0,2,3.0396069143833535e-08,0
0.0,3,7.026576939243772e-09,0
0.0,4,3.449092290547661e-08,0
0.0,5,2.5149348114705795e-08,0
0.0,6,8.383552930559895e-09,0
0.0,7,2.7323921839503822e-08,0
0.0,8,2.535076007987384e-08,0
0.0,9,1.4004235735237626e-08,0
0.0,10,2.0186320114263622e-08,0
0.0,11,1.3977128400420083e-08,0
0.0,12,2.0481645309786538e-08,0
0.0,13,2.3836841887731923e-08,0
0.0,14,2.0266096007272306e-08,0
0.0,15,1.9529378986736077e-08,0
2.0,0,4.308561524133215e-08,0
2.0,1,8.383978621116507e-09,0
2.0,2,3.047254066143949e-08,0
2.0,3,5.63321020146856e-09,0
2.0,4,3.4747531161147814e-08,0
2.0,5,2.5151918299663637e-08,0
2.0,6,8.382701160510577e-09,0
2.0,7,2.7704188659630423e-08,0
2.0,8,2.5371829907180034e-08,0
2.0,9,1.4014263464818912e-08,0
2.0,10,2.025978328630049e-08,0
2.0,11,1.3978620703155845e-08,0
2.0,12,2.0455743888772933e-08,0
2.0,13,2.389355832196947e-08,0
2.0,14,2.0390889123221087e-08,0
2.0,15,1.9550180731587086e-08,0
4.0,0,4.297722652754596e-08,0
4.0,1,8.383978621116507e-09,0
4.0,2,3.047716302498615e-08,0
4.0,3,8.382061992421247e-09,0
4.0,4,3.4761423011078425e-08,0
4.0,5,2.515448259780297e-08,0
4.0,6,8.383978621116507e-09,0
4.0,7,2.727850023637364e-08,0
4.0,8,2.539122780198597e-08,0
4.0,9,1.4010331100928087e-08,0
4.0,10,2.0321549299288934e-08,0
4.0,11,1.3975424859373687e-08,0
4.0,12,2.0855777645852246e-08,0
4.0,13,2.3938149528634153e-08,0
4.0,14,2.0381274660657572e-08,0
4.0,15,1.9530066799089623e-08,0
6.0,0,4.3135060494101484e-08,0
6.0,1,8.383552930559895e-09,0
6.0,2,3.045729131330418e-08,0
6.0,3,4.352545254710411e-09,0
6.0,4,3.4752111570070834e-08,0
6.0,5,2.5152343066723438e-08,0
6.0,6,8.381848871484836e-09,0
6.0,7,2.777038874915994e-08,0
6.0,8,2.5373843814159184e-08,0
6.0,9,1.401251439919489e-08,0
6.0,10,2.0259451669359314e-08,0
6.0,11,1.3977980949882947e-08,0
