freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,3.5779607626447605e-08,0
0.0,1,3.830088495283647e-08,0
0.0,2,6.198493133504572e-08,0
0.0,3,7.149995869076162e-08,0
0.0,4,6.47492992356847e-08,0
0.0,5,3.5974108491517314e-08,0
0.0,6,7.001687854546217e-08,0
0.0,7,5.2968789762864837e-08,0
0.0,8,6.306929357329233e-08,0
0.0,9,3.191533241748139e-08,0
0.0,10,4.187636234648044e-08,0
0.0,11,4.1743418551923644e-08,0
0.0,12,4.3597707299995896e-08,0
0.0,13,3.3387864321572204e-08,0
0.0,14,4.190504608466378e-08,0
0.0,15,3.848521441274638e-08,0
2.0,0,3.5716757447721956e-08,0
2.0,1,3.821752742189157e-08,0
2.0,2,6.185666001249419e-08,0
2.0,3,7.138886286142325e-08,0
2.0,4,6.473630043851571e-08,0
2.0,5,3.5789649819645515e-08,0
2.0,6,6.991968904263301e-08,0
2.0,7,5.299700329025237e-08,0
2.0,8,6.29920162522251e-08,0
2.0,9,3.2183406961871975e-08,0
2.0,10,4.189170169074297e-08,0
2.0,11,4.145037282031985e-08,0
2.0,12,4.35665040825745e-08,0
2.0,13,3.341516217783457e-08,0
2.0,14,4.1894391479582564e-08,0
2.0,15,3.9727893139567894e-08,0
4.0,0,3.5895095580049676e-08,0
4.0,1,3.8286023524037977e-08,0
4.0,2,6.216268977449415e-08,0
4.0,3,7.151524953183563e-08,0
4.0,4,6.507359503382621e-08,0
4.0,5,3.600398623077342e-08,0
4.0,6,7.038023959180589e-08,0
4.0,7,5.306377791432691e-08,0
4.0,8,6.316747587601151e-08,0
4.0,9,3.2439925582667404e-08,0
4.0,10,4.191042343461326e-08,0
4.0,11,4.1740788390056146e-08,0
4.0,12,4.394873443581904e-08,0
4.0,13,3.355333281215268e-08,0
4.0,14,4.191307776522269e-08,0
4.0,15,3.941383864834601e-08,0
6.0,0,3.59056251701566e-08,0
6.0,1,3.8402037004887695e-08,0
6.0,2,6.216046113531392e-08,0
6.0,3,7.157783737499326e-08,0
6.0,4,6.49566677820236e-08,0
6.0,5,3.605254528939879e-08,0
6.0,6,7.01876892937434e-08,0
6.0,7,5.299174795992653e-08,0
6.0,8,6.316986305744558e-08,0
6.0,9,3.203182777685649e-08,0
6.0,10,4.1889006778496064e-08,0
6.0,11,4.189229178211042e-08,0
6.0,12,4.3951346987245056e-08,0
6.0,13,3.347773471973742e-08,0
6.0,14,4.190504608466378e-08,0
6.0,15,3.837773191817574e-08,0
8.0,0,3.602359252152875e-08,0
8.0,1,3.839149249872199e-08,0
8.0,2,6.23276986493611e-08,0
8.0,3,7.160898086767708e-08,0
8.0,4,6.526567495841262e-08,0
8.0,5,3.6099619361521834e-08,0
8.0,6,7.054130290404658e-08,0
8.0,7,5.307999460874501e-08,0
8.0,8,6.335030353807582e-08,0
8.0,9,3.2602011524378804e-08,0
8.0,10,4.191572708766115e-08,0
8.0,11,4.1951009843358885e-08,0
8.0,12,4.4384363489556994e-08,0
8.0,13,3.361457453017776e-08,0
8.0,14,4.19210107646147e-08,0
8.0,15,3.9118876456590484e-08,0
10.0,0,3.584503445699249e-08,0
10.0,1,3.8296294095166854e-08,0
10.0,2,6.214953643345003e-08,0
10.0,3,7.15084968485463e-08,0
10.0,4,6.505829827710813e-08,0
10.0,5,3.591608646021959e-08,0
10.0,6,7.024170059754774e-08,0
10.0,7,5.302799422877775e-08,0
10.0,8,6.322571888251411e-08,0
10.0,9,3.257298711373524e-08,0
10.0,10,4.190509969197049e-08,0
10.0,11,4.160835022113057e-08,0
10.0,12,4.403647117940397e-08,0
10.0,13,3.3541019662496846e-08,0
10.0,14,4.190772899062995e-08,0
10.0,15,4.006792078600974e-08,0
12.0,0,3.610886195373136e-08,0
12.0,1,3.842939337954185e-08,0
12.0,2,6.248606497186424e-08,0
12.0,3,7.168309371209565e-08,0
12.0,4,6.550628672339988e-08,0
