freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,5.433895650517393e-08,0
0.0,1,2.5088260807929247e-08,0
0.0,2,4.048421736888014e-08,0
0.0,3,4.874168724926768e-08,0
0.0,4,4.184476728595635e-08,0
0.0,5,3.075685299129349e-08,0
0.0,6,8.826893454286305e-09,0
0.0,7,4.7167058900386196e-08,0
0.0,8,3.115509321670434e-08,0
0.0,9,1.956559480312316e-08,0
0.0,10,3.1055457523078036e-08,0
0.0,11,4.114168932285797e-08,0
0.0,12,2.556372750584722e-08,0
0.0,13,3.0242870728742e-08,0
0.0,14,2.608907166654707e-08,0
0.0,15,5.3206438928901243e-08,0
2.0,0,5.4446175932827495e-08,0
2.0,1,2.5090762770782525e-08,0
2.0,2,4.0047730156555276e-08,0
2.0,3,4.7897592472580724e-08,0
2.0,4,4.1797630499917624e-08,0
2.0,5,3.075248055706678e-08,0
2.0,6,8.518571239191006e-09,0
2.0,7,4.7516444521870534e-08,0
2.0,8,3.106053299914481e-08,0
2.0,9,1.956559480312316e-08,0
2.0,10,3.1033473552418304e-08,0
2.0,11,4.1163978676700673e-08,0
2.0,12,2.5302272067265743e-08,0
2.0,13,3.0028370089040575e-08,0
2.0,14,2.608649324891806e-08,0
2.0,15,5.295950473025818e-08,0
4.0,0,5.4516135887151124e-08,0
4.0,1,2.5192785739877595e-08,0
4.0,2,4.038095569638971e-08,0
4.0,3,4.819968751499547e-08,0
4.0,4,4.187679386433324e-08,0
4.0,5,3.0755757324260094e-08,0
4.0,6,8.617295260950516e-09,0
4.0,7,4.758144649796064e-08,0
4.0,8,3.115771060165723e-08,0
4.0,9,1.956559480312316e-08,0
4.0,10,3.110013278623158e-08,0
4.0,11,4.136725758374611e-08,0
4.0,12,2.5423949872105817e-08,0
4.0,13,3.025343688093251e-08,0
4.0,14,2.6197949207539603e-08,0
4.0,15,5.310661446562e-08,0
6.0,0,5.4451457258770245e-08,0
6.0,1,2.5151577353656343e-08,0
6.0,2,4.066906448922968e-08,0
6.0,3,4.9012405492733064e-08,0
6.0,4,4.1867115275527775e-08,0
6.0,5,3.0769330641210646e-08,0
6.0,6,8.905570733465508e-09,0
6.0,7,4.7167058900386196e-08,0
6.0,8,3.1224946518071926e-08,0
