freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,3.386765730528689e-08,0
0.0,1,3.159840977446561e-08,0
0.0,2,6.437181461791971e-08,0
0.0,3,4.3351688281726695e-08,0
0.0,4,6.329232218580527e-08,0
0.0,5,3.126964534851022e-08,0
0.0,6,6.396076737450984e-08,0
0.0,7,5.2089298169931624e-08,0
0.0,8,5.942403222336824e-08,0
0.0,9,3.1005942594982545e-08,0
0.0,10,4.029940183853058e-08,0
0.0,11,4.5968910252945e-08,0
0.0,12,4.224051490040284e-08,0
0.0,13,3.499663178081389e-08,0
0.0,14,4.188605752816603e-08,0
0.0,15,4.4340604940824005e-08,0
2.0,0,3.336812780856646e-08,0
2.0,1,3.156247636779899e-08,0
2.0,2,6.435047901157066e-08,0
2.0,3,4.328620204890897e-08,0
2.0,4,6.333533005788174e-08,0
2.0,5,3.1194528574997064e-08,0
2.0,6,6.395787579458228e-08,0
2.0,7,5.2134846572172517e-08,0
2.0,8,5.929161942626731e-08,0
2.0,9,3.108334435190654e-08,0
2.0,10,3.992249220102364e-08,0
2.0,11,4.571316389485458e-08,0
2.0,12,4.219966245128253e-08,0
2.0,13,3.489158593041951e-08,0
2.0,14,4.185773026000969e-08,0
2.0,15,4.61547364586495e-08,0
4.0,0,3.4310309104297235e-08,0
4.0,1,3.165703973670282e-08,0
4.0,2,6.441472966611895e-08,0
4.0,3,4.345520994735168e-08,0
4.0,4,6.355289163323266e-08,0
4.0,5,3.129783044939992e-08,0
4.0,6,6.404620980809616e-08,0
4.0,7,5.2438925304299025e-08,0
4.0,8,5.961016598494526e-08,0
4.0,9,3.1097412441576417e-08,0
4.0,10,4.0492176654925775e-08,0
4.0,11,4.6170156650331845e-08,0
4.0,12,4.225902278905853e-08,0
4.0,13,3.501089871602932e-08,0
4.0,14,4.189241755961921e-08,0
4.0,15,4.56796743974957e-08,0
6.0,0,3.4418400595372324e-08,0
6.0,1,3.161266746171721e-08,0
6.0,2,6.4434629351633e-08,0
6.0,3,4.340033956328843e-08,0
6.0,4,6.33708061203829e-08,0
6.0,5,3.1400363775940694e-08,0
6.0,6,6.40353690589146e-08,0
6.0,7,5.226098829629993e-08,0
6.0,8,5.961943381756113e-08,0
6.0,9,3.108178899210855e-08,0
6.0,10,4.06053597480706e-08,0
6.0,11,4.624676707878779e-08,0
6.0,12,4.2374868462496015e-08,0
6.0,13,3.507542492981567e-08,0
6.0,14,4.1906309685464815e-08,0
6.0,15,4.430926368875785e-08,0
8.0,0,3.465905365124674e-08,0
8.0,1,3.1713171179526985e-08,0
8.0,2,6.447652000056212e-08,0
8.0,3,4.3554715387821996e-08,0
8.0,4,6.366784758410435e-08,0
8.0,5,3.1374145970945745e-08,0
8.0,6,6.410168935498317e-08,0
8.0,7,5.2581156153371835e-08,0
8.0,8,5.986380442339965e-08,0
8.0,9,3.113555259579253e-08,0
8.0,10,4.083613977393331e-08,0
8.0,11,4.6512754918333695e-08,0
8.0,12,4.234510994087905e-08,0
8.0,13,3.508552022427505e-08,0
8.0,14,4.191507931121101e-08,0
8.0,15,4.536949519564791e-08,0
10.0,0,3.4114712520685935e-08,0
10.0,1,3.164657318155953e-08,0
10.0,2,6.442428511763303e-08,0
10.0,3,4.3412269120130416e-08,0
10.0,4,6.355041169161142e-08,0
10.0,5,3.129250933536073e-08,0
10.0,6,6.401859316674989e-08,0
10.0,7,5.233310198613685e-08,0
10.0,8,5.959176235602888e-08,0
10.0,9,3.1159863304777604e-08,0
10.0,10,4.035149697442449e-08,0
10.0,11,4.602337381537542e-08,0
10.0,12,4.235992063366537e-08,0
10.0,13,3.495907115766181e-08,0
10.0,14,4.1877105289035305e-08,0
10.0,15,4.6518199889058124e-08,0
12.0,0,3.5089066723842856e-08,0
12.0,1,3.178842584229431e-08,0
12.0,2,6.452769889814173e-08,0
12.0,3,4.3618036534782085e-08,0
12.0,4,6.372614276165131e-08,0
12.0,5,3.1519447170105265e-08,0
12.0,6,6.414700016997787e-08,0
12.0,7,5.269757764046761e-08,0
12.0,8,6.005311250564113e-08,0
12.0,9,3.122484333066295e-08,0
12.0,10,4.112220903826668e-08,0
12.0,11,4.6721291038492375e-08,0
12.0,12,4.252683403088251e-08,0
12.0,13,3.5163219291267574e-08,0
12.0,14,4.191882101819606e-08,0
12.0,15,4.5288478239941394e-08,0
14.0,0,3.511992262370853e-08,0
14.0,1,3.177623973499929e-08,0
14.0,2,6.454606479429867e-08,0
14.0,3,4.357549748246296e-08,0
14.0,4,6.368822915936553e-08,0
14.0,5,3.1621229053176595e-08,0
