freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,5.584896198519522e-08,0
0.0,1,5.8215511500304956e-08,0
0.0,2,3.9445044486562765e-08,0
0.0,3,3.626863706608495e-08,0
0.0,4,4.192627457812105e-08,0
0.0,5,3.086703321984853e-08,0
0.0,6,1.3975424859373687e-08,0
0.0,7,4.023411502758068e-08,0
0.0,8,3.1488379136276334e-08,0
0.0,9,2.465664243046643e-08,0
0.0,10,3.12307963694167e-08,0
0.0,11,1.3975424859373687e-08,0
0.0,12,2.5357575936177667e-08,0
0.0,13,3.052598248339226e-08,0
0.0,14,2.64567664689788e-08,0
0.0,15,2.5155764746872636e-08,0
2.0,0,5.581331730399673e-08,0
2.0,1,5.8167070725183535e-08,0
2.0,2,3.8482330594918255e-08,0
2.0,3,3.620816060396887e-08,0
2.0,4,4.1906093459190555e-08,0
2.0,5,3.083829402012754e-08,0
2.0,6,1.3970711393991099e-08,0
2.0,7,4.066199408962026e-08,0
2.0,8,3.1460956427613326e-08,0
2.0,9,2.463691663832104e-08,0
2.0,10,3.124636475108876e-08,0
2.0,11,1.3975424859373687e-08,0
2.0,12,2.5218305374470522e-08,0
2.0,13,3.042019170517806e-08,0
2.0,14,2.6342167720546085e-08,0
2.0,15,2.5151051281490047e-08,0
4.0,0,5.604958753124473e-08,0
4.0,1,5.829904327302083e-08,0
4.0,2,3.924188604077601e-08,0
4.0,3,3.6263693106602807e-08,0
4.0,4,4.1966204363433554e-08,0
4.0,5,3.0879033974997095e-08,0
4.0,6,1.3975424859373687e-08,0
4.0,7,4.083311488186091e-08,0
4.0,8,3.160785516653062e-08,0
4.0,9,2.4727004139536507e-08,0
4.0,10,3.1309802157833284e-08,0
4.0,11,1.3975424859373687e-08,0
4.0,12,2.528886403124762e-08,0
4.0,13,3.053326518189251e-08,0
4.0,14,2.6521783718089613e-08,0
4.0,15,2.5155764746872636e-08,0
6.0,0,5.615752077390362e-08,0
6.0,1,5.828010287662299e-08,0
6.0,2,3.970035005414823e-08,0
6.0,3,3.629794647775896e-08,0
6.0,4,4.194650438491388e-08,0
6.0,5,3.09191699928122e-08,0
6.0,6,1.3975424859373687e-08,0
6.0,7,4.031353528461457e-08,0
6.0,8,3.165132625654885e-08,0
6.0,9,2.4691136747621203e-08,0
6.0,10,3.125376262882609e-08,0
6.0,11,1.3975424859373687e-08,0
6.0,12,2.5462075428721922e-08,0
6.0,13,3.055490370333571e-08,0
6.0,14,2.666192452446317e-08,0
6.0,15,2.5155764746872636e-08,0
8.0,0,5.6189852527378735e-08,0
8.0,1,5.8345371405168595e-08,0
8.0,2,3.976529843568656e-08,0
8.0,3,3.627847401639479e-08,0
8.0,4,4.198638393235492e-08,0
8.0,5,3.089460942316863e-08,0
8.0,6,1.3975424859373687e-08,0
8.0,7,4.093939947415618e-08,0
8.0,8,3.17156580482113e-08,0
8.0,9,2.475800265472123e-08,0
8.0,10,3.1341409315064986e-08,0
8.0,11,1.3975424859373687e-08,0
8.0,12,2.5379371544622615e-08,0
8.0,13,3.0586783944892584e-08,0
8.0,14,2.6741367039624796e-08,0
8.0,15,2.5155764746872636e-08,0
10.0,0,5.6189852527378735e-08,0
10.0,1,5.825953349297719e-08,0
10.0,2,3.8879542084662744e-08,0
10.0,3,3.622351802429607e-08,0
10.0,4,4.195632925523799e-08,0
10.0,5,3.0910351453673566e-08,0
10.0,6,1.3975424859373687e-08,0
10.0,7,4.096506888643563e-08,0
10.0,8,3.1624036606565055e-08,0
10.0,9,2.4701768557703156e-08,0
10.0,10,3.131710422835303e-08,0
10.0,11,1.3975424859373687e-08,0
10.0,12,2.5263268015021665e-08,0
10.0,13,3.0460721938389994e-08,0
10.0,14,2.654274645835708e-08,0
10.0,15,2.5155764746872636e-08,0
12.0,0,5.647999287995159e-08,0
12.0,1,5.84050772491169e-08,0
12.0,2,3.999121575143855e-08,0
12.0,3,3.630277312704088e-08,0
12.0,4,4.202161858972899e-08,0
12.0,5,3.094774587992714e-08,0
12.0,6,1.3975424859373687e-08,0
12.0,7,4.102363021081184e-08,0
12.0,8,3.186660555198698e-08,0
12.0,9,2.4782375533072576e-08,0
12.0,10,3.1360371473232503e-08,0
12.0,11,1.3975424859373687e-08,0
12.0,12,2.548738499777303e-08,0
12.0,13,3.0617990660219394e-08,0
12.0,14,2.6998334728331962e-08,0
