freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,2.8010699396958065e-08,0
0.0,1,4.750331084622311e-08,0
0.0,2,5.1654823565256235e-08,0
0.0,3,3.347605365872333e-08,0
0.0,4,4.925508873031702e-08,0
0.0,5,2.6037141117652822e-08,0
0.0,6,4.785646516793364e-08,0
0.0,7,4.064720657425458e-08,0
0.0,8,4.6785515425273075e-08,0
0.0,9,2.515994744043324e-08,0
0.0,10,3.0733087944198524e-08,0
0.0,11,3.018857732116861e-08,0
0.0,12,3.434191385335063e-08,0
0.0,13,1.9649431229889637e-08,0
0.0,14,3.0871608558956666e-08,0
0.0,15,8.331004321233393e-08,0
2.0,0,2.8067701097170228e-08,0
2.0,1,4.7675256167999784e-08,0
2.0,2,5.1847403068922065e-08,0
2.0,3,3.368205986588619e-08,0
2.0,4,4.984408114793346e-08,0
2.0,5,2.6088851365564205e-08,0
2.0,6,4.797180273583158e-08,0
2.0,7,4.100360494880622e-08,0
2.0,8,4.6989320731612056e-08,0
2.0,9,2.516518638160929e-08,0
2.0,10,3.0741229160366426e-08,0
2.0,11,3.0297353223383486e-08,0
2.0,12,3.4825866829387094e-08,0
2.0,13,1.966401614034466e-08,0
2.0,14,3.090034558862524e-08,0
2.0,15,8.369685476788836e-08,0
4.0,0,2.8178831298156275e-08,0
4.0,1,4.765905089798659e-08,0
4.0,2,5.178287055783837e-08,0
4.0,3,3.355449401005635e-08,0
4.0,4,4.943994385735422e-08,0
4.0,5,2.609094075745131e-08,0
4.0,6,4.7914952598460555e-08,0
4.0,7,4.071250850822243e-08,0
4.0,8,4.6910390498842677e-08,0
4.0,9,2.515929339952334e-08,0
4.0,10,3.0736110829480975e-08,0
4.0,11,3.028716080152915e-08,0
4.0,12,3.449607190915414e-08,0
4.0,13,1.9671583060810115e-08,0
4.0,14,3.090300838025719e-08,0
4.0,15,8.353996488110398e-08,0
6.0,0,2.806427647300439e-08,0
6.0,1,4.768684767002886e-08,0
6.0,2,5.187924687290561e-08,0
6.0,3,3.369276392290772e-08,0
6.0,4,4.994175171536496e-08,0
6.0,5,2.6088851365564205e-08,0
6.0,6,4.79947312026386e-08,0
6.0,7,4.104358001216897e-08,0
6.0,8,4.7028181770507475e-08,0
6.0,9,2.5164398820079774e-08,0
6.0,10,3.074175277931203e-08,0
6.0,11,3.0307562110393885e-08,0
6.0,12,3.484312510250836e-08,0
6.0,13,1.9666133539299665e-08,0
6.0,14,3.091376697649884e-08,0
6.0,15,8.383739964419944e-08,0
8.0,0,2.8259546910829765e-08,0
8.0,1,4.783638506582097e-08,0
8.0,2,5.193808573637101e-08,0
8.0,3,3.3677487044273404e-08,0
8.0,4,4.967868006615099e-08,0
8.0,5,2.61225650498798e-08,0
8.0,6,4.800770188056367e-08,0
8.0,7,4.083953858594581e-08,0
8.0,8,4.702741681411075e-08,0
8.0,9,2.5162439342254272e-08,0
8.0,10,3.073926384343386e-08,0
8.0,11,3.0373289599015996e-08,0
8.0,12,3.474259904820827e-08,0
8.0,13,1.9693667061386487e-08,0
8.0,14,3.0945463851781734e-08,0
8.0,15,8.38072234539955e-08,0
10.0,0,2.8032389364490705e-08,0
10.0,1,4.7601466117973194e-08,0
10.0,2,5.183933445491686e-08,0
10.0,3,3.363622124205876e-08,0
10.0,4,4.9801011690663125e-08,0
10.0,5,2.605505295521494e-08,0
10.0,6,4.797431225799171e-08,0
10.0,7,4.095519485869826e-08,0
10.0,8,4.6998512435604454e-08,0
10.0,9,2.5163218306797635e-08,0
10.0,10,3.073886846456962e-08,0
10.0,11,3.02746026658412e-08,0
10.0,12,3.4771345274570966e-08,0
10.0,13,1.9661949122837265e-08,0
10.0,14,3.0920523579406673e-08,0
10.0,15,8.381482871127755e-08,0
12.0,0,2.831991240703048e-08,0
12.0,1,4.8005584391948614e-08,0
12.0,2,5.2136739600592707e-08,0
12.0,3,3.388959086528309e-08,0
12.0,4,5.029815588143965e-08,0
12.0,5,2.6186716762749023e-08,0
12.0,6,4.812260752781927e-08,0
12.0,7,4.1182900915388414e-08,0
12.0,8,4.7232757691522895e-08,0
12.0,9,2.516518902887952e-08,0
12.0,10,3.0746326433435263e-08,0
12.0,11,3.0476799606106033e-08,0
12.0,12,3.515744094175416e-08,0
12.0,13,1.970569828326564e-08,0
12.0,14,3.097998913608249e-08,0
12.0,15,8.418915237694044e-08,0
14.0,0,2.8279385927014746e-08,0
14.0,1,4.797763354222986e-08,0
14.0,2,5.205209035641717e-08,0
14.0,3,3.387004545142928e-08,0
14.0,4,5.015710490966379e-08,0
14.0,5,2.616074708768626e-08,0
14.0,6,4.8109477475719505e-08,0
14.0,7,4.1152953297906344e-08,0
14.0,8,4.7230174882445386e-08,0
14.0,9,2.5169399307711046e-08,0
14.0,10,3.074305935772296e-08,0
14.0,11,3.044744920685919e-08,0
14.0,12,3.5131172170534553e-08,0
14.0,13,1.9709009836998417e-08,0
14.0,14,3.0982135070291716e-08,0
14.0,15,8.414349786983796e-08,0
16.0,0,2.8440488843219736e-08,0
16.0,1,4.823931132494158e-08,0
16.0,2,5.228825442727933e-08,0
16.0,3,3.4085464744385934e-08,0
16.0,4,5.039635504183549e-08,0
16.0,5,2.6244010587730903e-08,0
16.0,6,4.824969542503539e-08,0
16.0,7,4.13439849182162e-08,0
16.0,8,4.742434593659037e-08,0
16.0,9,2.517031633600439e-08,0
16.0,10,3.074750100329898e-08,0
16.0,11,3.056313967744645e-08,0
16.0,12,3.5421028506455696e-08,0
16.0,13,1.9735773721814676e-08,0
16.0,14,3.1071838627636574e-08,0
16.0,15,8.449997299158051e-08,0
18.000000000000004,0,2.845729690305527e-08,0
18.000000000000004,1,4.825379822610742e-08,0
18.000000000000004,2,5.2223983331352866e-08,0
18.000000000000004,3,3.399593937121205e-08,0
18.000000000000004,4,5.0304858646557024e-08,0
18.000000000000004,5,2.6225221489546592e-08,0
18.000000000000004,6,4.8227244302650746e-08,0
18.000000000000004,7,4.1218800869225206e-08,0
18.000000000000004,8,4.73196075520202e-08,0
18.000000000000004,9,2.516558584656299e-08,0
18.000000000000004,10,3.074397377791559e-08,0
18.000000000000004,11,3.054427587553719e-08,0
18.000000000000004,12,3.5250123126348726e-08,0
18.000000000000004,13,1.9748598875107204e-08,0
18.000000000000004,14,3.104667716666568e-08,0
18.000000000000004,15,8.44051406679231e-08,0
20.0,0,2.8536821410964298e-08,0
20.0,1,4.844366558697024e-08,0
20.0,2,5.237565366533328e-08,0
20.0,3,3.426847132152837e-08,0
20.0,4,5.046747116591778e-08,0
20.0,5,2.6288828044979494e-08,0
20.0,6,4.838109134050648e-08,0
20.0,7,4.147296835276491e-08,0
20.0,8,4.7555654130694426e-08,0
20.0,9,2.5183157211730812e-08,0
20.0,10,3.074697880155669e-08,0
20.0,11,3.06102330696238e-08,0
20.0,12,3.5629654586535115e-08,0
20.0,13,1.9772928692376098e-08,0
20.0,14,3.118262901941738e-08,0
20.0,15,8.483886437179656e-08,0
22.0,0,2.8650524467331476e-08,0
22.0,1,4.850643919903986e-08,0
22.0,2,5.243685624399907e-08,0
22.0,3,3.415146814302667e-08,0
22.0,4,5.0391730344586614e-08,0
22.0,5,2.6269858913422553e-08,0
22.0,6,4.839842149187288e-08,0
22.0,7,4.132658106664436e-08,0
22.0,8,4.755336483618435e-08,0
