freqs[MHz],channel,p1[V/(sqrt(Hz))],chi2[TBA]
0.0,0,8.085018962312942e-08,0
0.0,1,8.385582900248933e-09,0
0.0,2,3.063746975785943e-08,0
0.0,3,8.302162359360624e-09,0
0.0,4,5.354237615959709e-08,0
0.0,5,2.5296502087181764e-08,0
0.0,6,8.516800448215515e-09,0
0.0,7,2.893035179927024e-08,0
0.0,8,3.2881851884158314e-08,0
0.0,9,1.8848071515592354e-08,0
0.0,10,2.452081098705609e-08,0
0.0,11,1.4216988608377007e-08,0
0.0,12,3.131185814495663e-08,0
0.0,13,2.42520350957797e-08,0
0.0,14,2.322416138238063e-08,0
0.0,15,1.988464673571294e-08,0
2.0,0,8.076800259139636e-08,0
2.0,1,8.385254915624211e-09,0
2.0,2,3.0643624033161034e-08,0
2.0,3,8.385746921428097e-09,0
2.0,4,5.361343744514868e-08,0
2.0,5,2.531223128519034e-08,0
2.0,6,8.516636789878232e-09,0
2.0,7,2.9518598879173426e-08,0
2.0,8,3.3307291064295854e-08,0
2.0,9,1.8927546871800263e-08,0
2.0,10,2.4648148940663636e-08,0
2.0,11,1.4306653432812388e-08,0
2.0,12,3.132821854785166e-08,0
2.0,13,2.4289882006278013e-08,0
2.0,14,2.3469565065758587e-08,0
2.0,15,1.9921010289528974e-08,0
4.0,0,8.132559445954545e-08,0
4.0,1,8.385746921428097e-09,0
4.0,2,3.0665041142311945e-08,0
4.0,3,8.374886290927272e-09,0
4.0,4,5.3744292079162225e-08,0
4.0,5,2.53365831071383e-08,0
4.0,6,8.517127704566332e-09,0
4.0,7,2.8804042072980797e-08,0
4.0,8,3.296878328341527e-08,0
4.0,9,1.891534934091619e-08,0
4.0,10,2.4585133661878914e-08,0
4.0,11,1.4211771994808026e-08,0
4.0,12,3.137408543563119e-08,0
4.0,13,2.433458102338389e-08,0
4.0,14,2.3375317362022432e-08,0
4.0,15,1.996923547277758e-08,0
6.0,0,8.070830509343511e-08,0
6.0,1,8.385254915624211e-09,0
6.0,2,3.0648763327448226e-08,0
6.0,3,8.386239100473463e-09,0
6.0,4,5.362487312973689e-08,0
6.0,5,2.5315017974540275e-08,0
6.0,6,8.515490618149479e-09,0
6.0,7,2.9527043222501557e-08,0
6.0,8,3.3397631607017675e-08,0
6.0,9,1.8936429492507115e-08,0
6.0,10,2.4650278897607595e-08,0
6.0,11,1.4299694243304681e-08,0
6.0,12,3.1321824901362704e-08,0
6.0,13,2.42918372067422e-08,0
6.0,14,2.3503862745574258e-08,0
6.0,15,1.9891175324611188e-08,0
8.0,0,8.153393360954038e-08,0
8.0,1,8.386239100473463e-09,0
8.0,2,3.069033238819767e-08,0
8.0,3,8.381314013302217e-09,0
8.0,4,5.39058168231205e-08,0
8.0,5,2.5381329274484907e-08,0
8.0,6,8.517127704566332e-09,0
8.0,7,2.899226634806091e-08,0
8.0,8,3.315070232503465e-08,0
8.0,9,1.8956977929693084e-08,0
8.0,10,2.4652742389091354e-08,0
8.0,11,1.4245116578003053e-08,0
8.0,12,3.141274419960747e-08,0
8.0,13,2.4391527853866223e-08,0
8.0,14,2.352944860232414e-08,0
8.0,15,2.0019624563284483e-08,0
10.0,0,8.051507910056888e-08,0
10.0,1,8.385254915624211e-09,0
10.0,2,3.064343062927169e-08,0
10.0,3,8.385746921428097e-09,0
10.0,4,5.356477295844865e-08,0
10.0,5,2.5301347485908183e-08,0
10.0,6,8.513195313007922e-09,0
10.0,7,2.9676783966158055e-08,0
10.0,8,3.333880134105339e-08,0
10.0,9,1.8860972236392288e-08,0
10.0,10,2.4598163881679128e-08,0
10.0,11,1.4399162913480355e-08,0
10.0,12,3.129935055632329e-08,0
10.0,13,2.4221004249815586e-08,0
10.0,14,2.3385838850626574e-08,0
10.0,15,2.0001775916740235e-08,0
12.0,0,8.142187326738787e-08,0
12.0,1,8.385746921428097e-09,0
12.0,2,3.068884858793255e-08,0
12.0,3,8.385746921428097e-09,0
12.0,4,5.3975299035729244e-08,0
12.0,5,2.5388821822375265e-08,0
12.0,6,8.517127704566332e-09,0
12.0,7,2.971317448067517e-08,0
12.0,8,3.372341674563819e-08,0
12.0,9,1.9038154082489056e-08,0
12.0,10,2.4753249992614743e-08,0
12.0,11,1.4424808285903905e-08,0
12.0,12,3.142990546111692e-08,0
12.0,13,2.4451904240823403e-08,0
12.0,14,2.3752680855360573e-08,0
12.0,15,2.0081260886114435e-08,0
14.0,0,8.123046875349631e-08,0
14.0,1,8.385582900248933e-09,0
14.0,2,3.068229691270738e-08,0
14.0,3,8.346004644687497e-09,0
14.0,4,5.393187881284428e-08,0
14.0,5,2.5381769967370757e-08,0
14.0,6,8.516145694174394e-09,0
14.0,7,2.9482357249553777e-08,0
14.0,8,3.372433670691982e-08,0
14.0,9,1.9006656532448308e-08,0
14.0,10,2.4722312502352545e-08,0
14.0,11,1.4378421403848577e-08,0
14.0,12,3.1407433957834055e-08,0
14.0,13,2.4393202654126802e-08,0
14.0,14,2.371121469200091e-08,0
14.0,15,2.006468950556995e-08,0
16.0,0,8.163565432324393e-08,0
16.0,1,8.385254915624211e-09,0
16.0,2,3.070469660998705e-08,0
16.0,3,8.385746921428097e-09,0
16.0,4,5.420574449803838e-08,0
16.0,5,2.5451330694239334e-08,0
16.0,6,8.516636789878232e-09,0
16.0,7,2.992166918415985e-08,0
16.0,8,3.417773429788594e-08,0
16.0,9,1.9090154072734253e-08,0
16.0,10,2.4813903929328582e-08,0
16.0,11,1.4586962111907413e-08,0
16.0,12,3.148195454937934e-08,0
16.0,13,2.451437905126801e-08,0
16.0,14,2.3941338784591284e-08,0
16.0,15,2.015102767079552e-08,0
18.000000000000004,0,8.195678910734217e-08,0
18.000000000000004,1,8.385746921428097e-09,0
18.000000000000004,2,3.0715219471150954e-08,0
18.000000000000004,3,8.376867193731561e-09,0
18.000000000000004,4,5.4306873066573124e-08,0
18.000000000000004,5,2.5457965581068302e-08,0
18.000000000000004,6,8.517127704566332e-09,0
18.000000000000004,7,2.9519171327202547e-08,0
18.000000000000004,8,3.392534384612962e-08,0
18.000000000000004,9,1.9058665914713267e-08,0
18.000000000000004,10,2.478513034880749e-08,0
18.000000000000004,11,1.444481528527742e-08,0
18.000000000000004,12,3.1519620410655825e-08,0
18.000000000000004,13,2.4512798151779924e-08,0
18.000000000000004,14,2.3894228311290857e-08,0
18.000000000000004,15,2.0302124865758598e-08,0
20.0,0,8.160036081260329e-08,0
20.0,1,8.385254915624211e-09,0
20.0,2,3.073009647571387e-08,0
20.0,3,8.386239100473463e-09,0
20.0,4,5.4385922605164294e-08,0
20.0,5,2.551334017831628e-08,0
20.0,6,8.51647311142809e-09,0
20.0,7,3.005589167037971e-08,0
20.0,8,3.454978501080213e-08,0
20.0,9,1.9102232337535392e-08,0
20.0,10,2.4854448044442968e-08,0
20.0,11,1.477402056562361e-08,0
20.0,12,3.150140941380715e-08,0
20.0,13,2.452106768362253e-08,0
20.0,14,2.4078530275430014e-08,0
20.0,15,2.0255572612247053e-08,0
22.0,0,8.230429675638154e-08,0
22.0,1,8.385746921428097e-09,0
22.0,2,3.075029519759852e-08,0
22.0,3,8.38427073077496e-09,0
22.0,4,5.458807741322595e-08,0
22.0,5,2.5545607021697632e-08,0
22.0,6,8.517127704566332e-09,0
22.0,7,2.9797436468082747e-08,0
22.0,8,3.427484327400533e-08,0
22.0,9,1.908948043201288e-08,0
22.0,10,2.483544888667349e-08,0
22.0,11,1.4652502723133462e-08,0
22.0,12,3.158682889826239e-08,0
