Event_id Flavor CC_NC Elst Ant_Res Off_cone Useful_Ch
148 NuE CC 0.1 -10 1.0 1
149 NuMu NC 0.9 -10 1.0 1
150 NuE CC 0.1 -10 1.5 1
151 NuMu NC 0.9 -10 1.5 1
152 NuE CC 0.1 -10 2.0 1
153 NuMu NC 0.9 -10 2.0 1
154 NuE CC 0.1 -10 2.5 1
155 NuMu NC 0.9 -10 2.5 1
156 NuE CC 0.1 -10 3.0 1
157 NuMu NC 0.9 -10 3.0 1
158 NuE CC 0.1 -10 3.5 1
159 NuMu NC 0.9 -10 3.5 1
160 NuE CC 0.1 -10 4.0 1
161 NuMu NC 0.9 -10 4.0 1
162 NuE CC 0.1 -20 0.0 1
163 NuMu NC 0.9 -20 0.0 1
164 NuE CC 0.1 -20 0.5 1
165 NuMu NC 0.9 -20 0.5 1
166 NuE CC 0.1 -20 1.0 1
167 NuMu NC 0.9 -20 1.0 1
168 NuE CC 0.1 -20 1.5 1
169 NuMu NC 0.9 -20 1.5 1
170 NuE CC 0.1 -20 2.0 1
171 NuMu NC 0.9 -20 2.0 1
172 NuE CC 0.1 -20 2.5 1
173 NuMu NC 0.9 -20 2.5 1
174 NuE CC 0.1 -20 3.0 1
175 NuMu NC 0.9 -20 3.0 1
176 NuE CC 0.1 -20 3.5 1
177 NuMu NC 0.9 -20 3.5 1
178 NuE CC 0.1 -20 4.0 1
179 NuMu NC 0.9 -20 4.0 1
180 NuE CC 0.1 -30 0.0 1
181 NuMu NC 0.9 -30 0.0 1
182 NuE CC 0.1 -30 0.5 1
183 NuMu NC 0.9 -30 0.5 1
184 NuE CC 0.1 -30 1.0 1
185 NuMu NC 0.9 -30 1.0 1
186 NuE CC 0.1 -30 1.5 1
187 NuMu NC 0.9 -30 1.5 1
188 NuE CC 0.1 -30 2.0 1
189 NuMu NC 0.9 -30 2.0 1
190 NuE CC 0.1 -30 2.5 1
191 NuMu NC 0.9 -30 2.5 1
192 NuE CC 0.1 -30 3.0 1
193 NuMu NC 0.9 -30 3.0 1
194 NuE CC 0.1 -30 3.5 1
195 NuMu NC 0.9 -30 3.5 1
196 NuE CC 0.1 -30 4.0 1
197 NuMu NC 0.9 -30 4.0 1
198 NuE CC 0.1 -40 0.0 1
199 NuMu NC 0.9 -40 0.0 1
200 NuE CC 0.1 -40 0.5 1
201 NuMu NC 0.9 -40 0.5 1
202 NuE CC 0.1 -40 1.0 1
203 NuMu NC 0.9 -40 1.0 1
204 NuE CC 0.1 -40 1.5 1
205 NuMu NC 0.9 -40 1.5 1
206 NuE CC 0.1 -40 2.0 1
207 NuMu NC 0.9 -40 2.0 1
208 NuE CC 0.1 -40 2.5 1
209 NuMu NC 0.9 -40 2.5 1
210 NuE CC 0.1 -40 3.0 1
211 NuMu NC 0.9 -40 3.0 1
212 NuE CC 0.1 -40 3.5 1
213 NuMu NC 0.9 -40 3.5 1
214 NuE CC 0.1 -40 4.0 1
215 NuMu NC 0.9 -40 4.0 1
216 NuE CC 0.1 -50 0.0 1
217 NuMu NC 0.9 -50 0.0 1
218 NuE CC 0.1 -50 0.5 1
219 NuMu NC 0.9 -50 0.5 1
220 NuE CC 0.1 -50 1.0 1
221 NuMu NC 0.9 -50 1.0 1
222 NuE CC 0.1 -50 1.5 1
223 NuMu NC 0.9 -50 1.5 1
224 NuE CC 0.1 -50 2.0 1
225 NuMu NC 0.9 -50 2.0 1
226 NuE CC 0.1 -50 2.5 1
227 NuMu NC 0.9 -50 2.5 1
228 NuE CC 0.1 -50 3.0 1
229 NuMu NC 0.9 -50 3.0 1
230 NuE CC 0.1 -50 3.5 1
231 NuMu NC 0.9 -50 3.5 1
232 NuE CC 0.1 -50 4.0 1
233 NuMu NC 0.9 -50 4.0 1
234 NuE CC 0.1 -60 0.0 1
235 NuMu NC 0.9 -60 0.0 1
236 NuE CC 0.1 -60 0.5 1
237 NuMu NC 0.9 -60 0.5 1
238 NuE CC 0.1 -60 1.0 1
239 NuMu NC 0.9 -60 1.0 1
240 NuE CC 0.1 -60 1.5 1
241 NuMu NC 0.9 -60 1.5 1
242 NuE CC 0.1 -60 2.0 1
243 NuMu NC 0.9 -60 2.0 1
244 NuE CC 0.1 -60 2.5 1
245 NuMu NC 0.9 -60 2.5 1
246 NuE CC 0.1 -60 3.0 1
247 NuMu NC 0.9 -60 3.0 1
248 NuE CC 0.1 -60 3.5 1
249 NuMu NC 0.9 -60 3.5 1
250 NuE CC 0.1 -60 4.0 1
251 NuMu NC 0.9 -60 4.0 1
252 NuE CC 0.1 0 0.0 2
253 NuMu NC 0.9 0 0.0 2
254 NuE CC 0.1 0 0.5 2
255 NuMu NC 0.9 0 0.5 2
256 NuE CC 0.1 0 1.0 2
257 NuMu NC 0.9 0 1.0 2
258 NuE CC 0.1 0 1.5 2
259 NuMu NC 0.9 0 1.5 2
260 NuE CC 0.1 0 2.0 2
261 NuMu NC 0.9 0 2.0 2
262 NuE CC 0.1 0 2.5 2
263 NuMu NC 0.9 0 2.5 2
264 NuE CC 0.1 0 3.0 2
265 NuMu NC 0.9 0 3.0 2
