Event_id Flavor CC_NC Elst Ant_Res Off_cone Useful_Ch
149 NuMu NC 0.9 0 4.0 6
150 NuE CC 0.1 -20 0.0 6
151 NuMu NC 0.9 -20 0.0 6
152 NuE CC 0.1 -20 2.0 6
153 NuMu NC 0.9 -20 2.0 6
154 NuE CC 0.1 -20 4.0 6
155 NuMu NC 0.9 -20 4.0 6
156 NuE CC 0.1 -40 0.0 6
157 NuMu NC 0.9 -40 0.0 6
158 NuE CC 0.1 -40 2.0 6
159 NuMu NC 0.9 -40 2.0 6
160 NuE CC 0.1 -40 4.0 6
161 NuMu NC 0.9 -40 4.0 6
162 NuE CC 0.1 -60 0.0 6
163 NuMu NC 0.9 -60 0.0 6
164 NuE CC 0.1 -60 2.0 6
165 NuMu NC 0.9 -60 2.0 6
166 NuE CC 0.1 -60 4.0 6
167 NuMu NC 0.9 -60 4.0 6
168 NuE CC 0.1 0 0.0 7
169 NuMu NC 0.9 0 0.0 7
170 NuE CC 0.1 0 2.0 7
171 NuMu NC 0.9 0 2.0 7
172 NuE CC 0.1 0 4.0 7
173 NuMu NC 0.9 0 4.0 7
174 NuE CC 0.1 -20 0.0 7
175 NuMu NC 0.9 -20 0.0 7
176 NuE CC 0.1 -20 2.0 7
177 NuMu NC 0.9 -20 2.0 7
178 NuE CC 0.1 -20 4.0 7
179 NuMu NC 0.9 -20 4.0 7
180 NuE CC 0.1 -40 0.0 7
181 NuMu NC 0.9 -40 0.0 7
182 NuE CC 0.1 -40 2.0 7
183 NuMu NC 0.9 -40 2.0 7
184 NuE CC 0.1 -40 4.0 7
185 NuMu NC 0.9 -40 4.0 7
186 NuE CC 0.1 -60 0.0 7
187 NuMu NC 0.9 -60 0.0 7
188 NuE CC 0.1 -60 2.0 7
189 NuMu NC 0.9 -60 2.0 7
190 NuE CC 0.1 -60 4.0 7
191 NuMu NC 0.9 -60 4.0 7
192 NuE CC 0.1 0 0.0 8
193 NuMu NC 0.9 0 0.0 8
194 NuE CC 0.1 0 2.0 8
195 NuMu NC 0.9 0 2.0 8
196 NuE CC 0.1 0 4.0 8
197 NuMu NC 0.9 0 4.0 8
198 NuE CC 0.1 -20 0.0 8
199 NuMu NC 0.9 -20 0.0 8
200 NuE CC 0.1 -20 2.0 8
201 NuMu NC 0.9 -20 2.0 8
202 NuE CC 0.1 -20 4.0 8
203 NuMu NC 0.9 -20 4.0 8
204 NuE CC 0.1 -40 0.0 8
205 NuMu NC 0.9 -40 0.0 8
206 NuE CC 0.1 -40 2.0 8
207 NuMu NC 0.9 -40 2.0 8
208 NuE CC 0.1 -40 4.0 8
209 NuMu NC 0.9 -40 4.0 8
210 NuE CC 0.1 -60 0.0 8
211 NuMu NC 0.9 -60 0.0 8
212 NuE CC 0.1 -60 2.0 8
213 NuMu NC 0.9 -60 2.0 8
214 NuE CC 0.1 -60 4.0 8
215 NuMu NC 0.9 -60 4.0 8
216 NuE CC 0.1 0 0.0 9
217 NuMu NC 0.9 0 0.0 9
218 NuE CC 0.1 0 2.0 9
219 NuMu NC 0.9 0 2.0 9
220 NuE CC 0.1 0 4.0 9
221 NuMu NC 0.9 0 4.0 9
222 NuE CC 0.1 -20 0.0 9
223 NuMu NC 0.9 -20 0.0 9
224 NuE CC 0.1 -20 2.0 9
225 NuMu NC 0.9 -20 2.0 9
226 NuE CC 0.1 -20 4.0 9
227 NuMu NC 0.9 -20 4.0 9
228 NuE CC 0.1 -40 0.0 9
229 NuMu NC 0.9 -40 0.0 9
230 NuE CC 0.1 -40 2.0 9
231 NuMu NC 0.9 -40 2.0 9
232 NuE CC 0.1 -40 4.0 9
233 NuMu NC 0.9 -40 4.0 9
234 NuE CC 0.1 -60 0.0 9
235 NuMu NC 0.9 -60 0.0 9
236 NuE CC 0.1 -60 2.0 9
237 NuMu NC 0.9 -60 2.0 9
238 NuE CC 0.1 -60 4.0 9
239 NuMu NC 0.9 -60 4.0 9
240 NuE CC 0.1 0 0.0 10
241 NuMu NC 0.9 0 0.0 10
242 NuE CC 0.1 0 2.0 10
243 NuMu NC 0.9 0 2.0 10
244 NuE CC 0.1 0 4.0 10
245 NuMu NC 0.9 0 4.0 10
246 NuE CC 0.1 -20 0.0 10
247 NuMu NC 0.9 -20 0.0 10
248 NuE CC 0.1 -20 2.0 10
249 NuMu NC 0.9 -20 2.0 10
250 NuE CC 0.1 -20 4.0 10
251 NuMu NC 0.9 -20 4.0 10
252 NuE CC 0.1 -40 0.0 10
253 NuMu NC 0.9 -40 0.0 10
254 NuE CC 0.1 -40 2.0 10
255 NuMu NC 0.9 -40 2.0 10
256 NuE CC 0.1 -40 4.0 10
257 NuMu NC 0.9 -40 4.0 10
258 NuE CC 0.1 -60 0.0 10
259 NuMu NC 0.9 -60 0.0 10
260 NuE CC 0.1 -60 2.0 10
261 NuMu NC 0.9 -60 2.0 10
262 NuE CC 0.1 -60 4.0 10
263 NuMu NC 0.9 -60 4.0 10
264 NuE CC 0.1 0 0.0 11
265 NuMu NC 0.9 0 0.0 11
266 NuE CC 0.1 0 2.0 11
267 NuMu NC 0.9 0 2.0 11
268 NuE CC 0.1 0 4.0 11
269 NuMu NC 0.9 0 4.0 11
270 NuE CC 0.1 -20 0.0 11
271 NuMu NC 0.9 -20 0.0 11
272 NuE CC 0.1 -20 2.0 11
273 NuMu NC 0.9 -20 2.0 11
274 NuE CC 0.1 -20 4.0 11
275 NuMu NC 0.9 -20 4.0 11
276 NuE CC 0.1 -40 0.0 11
277 NuMu NC 0.9 -40 0.0 11
278 NuE CC 0.1 -40 2.0 11
279 NuMu NC 0.9 -40 2.0 11
280 NuE CC 0.1 -40 4.0 11
281 NuMu NC 0.9 -40 4.0 11
282 NuE CC 0.1 -60 0.0 11
283 NuMu NC 0.9 -60 0.0 11
284 NuE CC 0.1 -60 2.0 11
285 NuMu NC 0.9 -60 2.0 11
286 NuE CC 0.1 -60 4.0 11
287 NuMu NC 0.9 -60 4.0 11
288 NuE CC 0.1 0 0.0 12
289 NuMu NC 0.9 0 0.0 12
290 NuE CC 0.1 0 2.0 12
291 NuMu NC 0.9 0 2.0 12
292 NuE CC 0.1 0 4.0 12
293 NuMu NC 0.9 0 4.0 12
294 NuE CC 0.1 -20 0.0 12
295 NuMu NC 0.9 -20 0.0 12
296 NuE CC 0.1 -20 2.0 12
297 NuMu NC 0.9 -20 2.0 12
298 NuE CC 0.1 -20 4.0 12
299 NuMu NC 0.9 -20 4.0 12
300 NuE CC 0.1 -40 0.0 12
301 NuMu NC 0.9 -40 0.0 12
302 NuE CC 0.1 -40 2.0 12
303 NuMu NC 0.9 -40 2.0 12
304 NuE CC 0.1 -40 4.0 12
305 NuMu NC 0.9 -40 4.0 12
306 NuE CC 0.1 -60 0.0 12
307 NuMu NC 0.9 -60 0.0 12
308 NuE CC 0.1 -60 2.0 12
309 NuMu NC 0.9 -60 2.0 12
310 NuE CC 0.1 -60 4.0 12
311 NuMu NC 0.9 -60 4.0 12
312 NuE CC 0.1 0 0.0 13
313 NuMu NC 0.9 0 0.0 13
314 NuE CC 0.1 0 2.0 13
315 NuMu NC 0.9 0 2.0 13
316 NuE CC 0.1 0 4.0 13
317 NuMu NC 0.9 0 4.0 13
318 NuE CC 0.1 -20 0.0 13
319 NuMu NC 0.9 -20 0.0 13
320 NuE CC 0.1 -20 2.0 13
321 NuMu NC 0.9 -20 2.0 13
322 NuE CC 0.1 -20 4.0 13
323 NuMu NC 0.9 -20 4.0 13
324 NuE CC 0.1 -40 0.0 13
325 NuMu NC 0.9 -40 0.0 13
326 NuE CC 0.1 -40 2.0 13
327 NuMu NC 0.9 -40 2.0 13
328 NuE CC 0.1 -40 4.0 13
329 NuMu NC 0.9 -40 4.0 13
330 NuE CC 0.1 -60 0.0 13
331 NuMu NC 0.9 -60 0.0 13
332 NuE CC 0.1 -60 2.0 13
333 NuMu NC 0.9 -60 2.0 13
334 NuE CC 0.1 -60 4.0 13
335 NuMu NC 0.9 -60 4.0 13
336 NuE CC 0.1 0 0.0 14
337 NuMu NC 0.9 0 0.0 14
338 NuE CC 0.1 0 2.0 14
339 NuMu NC 0.9 0 2.0 14
340 NuE CC 0.1 0 4.0 14
341 NuMu NC 0.9 0 4.0 14
342 NuE CC 0.1 -20 0.0 14
343 NuMu NC 0.9 -20 0.0 14
344 NuE CC 0.1 -20 2.0 14
345 NuMu NC 0.9 -20 2.0 14
346 NuE CC 0.1 -20 4.0 14
347 NuMu NC 0.9 -20 4.0 14
348 NuE CC 0.1 -40 0.0 14
349 NuMu NC 0.9 -40 0.0 14
350 NuE CC 0.1 -40 2.0 14
351 NuMu NC 0.9 -40 2.0 14
352 NuE CC 0.1 -40 4.0 14
353 NuMu NC 0.9 -40 4.0 14
354 NuE CC 0.1 -60 0.0 14
355 NuMu NC 0.9 -60 0.0 14
356 NuE CC 0.1 -60 2.0 14
357 NuMu NC 0.9 -60 2.0 14
358 NuE CC 0.1 -60 4.0 14
359 NuMu NC 0.9 -60 4.0 14
360 NuE CC 0.1 0 0.0 15
361 NuMu NC 0.9 0 0.0 15
362 NuE CC 0.1 0 2.0 15
363 NuMu NC 0.9 0 2.0 15
364 NuE CC 0.1 0 4.0 15
365 NuMu NC 0.9 0 4.0 15
366 NuE CC 0.1 -20 0.0 15
367 NuMu NC 0.9 -20 0.0 15
368 NuE CC 0.1 -20 2.0 15
369 NuMu NC 0.9 -20 2.0 15
370 NuE CC 0.1 -20 4.0 15
371 NuMu NC 0.9 -20 4.0 15
372 NuE CC 0.1 -40 0.0 15
373 NuMu NC 0.9 -40 0.0 15
374 NuE CC 0.1 -40 2.0 15
375 NuMu NC 0.9 -40 2.0 15
376 NuE CC 0.1 -40 4.0 15
377 NuMu NC 0.9 -40 4.0 15
378 NuE CC 0.1 -60 0.0 15
379 NuMu NC 0.9 -60 0.0 15
380 NuE CC 0.1 -60 2.0 15
381 NuMu NC 0.9 -60 2.0 15
382 NuE CC 0.1 -60 4.0 15
383 NuMu NC 0.9 -60 4.0 15
